Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation
5286,acid-washed jeans,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical0.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical0.png,All Year,Simple,everyday; outdoorsy,Blue
11385,acid-washed jeans,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical1.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical1.png,All Year,Simple,everyday; outdoorsy,Black
9842,animal-stripes skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe0.png,1100,275,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe0.png,All Year,Cool,everyday,Tiger
12067,animal-stripes skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe1.png,1100,275,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Gray,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe1.png,All Year,Cool,everyday,Zebra
5710,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron0.png,700,175,Able Sisters,Available from Able Sisters shop only,White,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron0.png,All Year,Simple,work,Purple
8921,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron1.png,700,175,Able Sisters,Available from Able Sisters shop only,White,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron1.png,All Year,Simple,work,Blue
8922,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron2.png,700,175,Able Sisters,Available from Able Sisters shop only,White,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron2.png,All Year,Simple,work,Beige
3311,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey0.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey0.png,All Year,Active,outdoorsy; comfy; sporty,Red
11295,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey1.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,All Year,Active,outdoorsy; comfy; sporty,Green
11296,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey2.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey2.png,All Year,Active,outdoorsy; comfy; sporty,Black
11297,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey3.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey3.png,All Year,Active,outdoorsy; comfy; sporty,Blue
11298,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey4.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey4.png,All Year,Active,outdoorsy; comfy; sporty,Berry red
11299,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey5.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey5.png,All Year,Active,outdoorsy; comfy; sporty,Navy blue
4518,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey0.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey0.png,All Year,Active,outdoorsy; comfy; sporty,Red
11905,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey1.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey1.png,All Year,Active,outdoorsy; comfy; sporty,Green
11906,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey2.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey2.png,All Year,Active,outdoorsy; comfy; sporty,Black
11907,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey3.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey3.png,All Year,Active,outdoorsy; comfy; sporty,Blue
11908,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey4.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey4.png,All Year,Active,outdoorsy; comfy; sporty,Berry red
11909,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey5.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey5.png,All Year,Active,outdoorsy; comfy; sporty,Navy blue
5720,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball0.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Purple,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball0.png,All Year,Active,sporty; work,Purple
11307,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball1.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball1.png,All Year,Active,sporty; work,Red
11308,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball2.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Orange,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball2.png,All Year,Active,sporty; work,Green
11309,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball3.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Orange,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball3.png,All Year,Active,sporty; work,Orange
11310,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball4.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball4.png,All Year,Active,sporty; work,Blue
11311,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball5.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball5.png,All Year,Active,sporty; work,Yellow
11312,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball6.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Light blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball6.png,All Year,Active,sporty; work,Light blue
11313,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball7.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball7.png,All Year,Active,sporty; work,Black
4364,bell-bottoms,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms0.png,1320,330,Able Sisters,Available from Able Sisters shop only,Orange,Orange,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms0.png,All Year,Gorgeous,everyday,Orange
9270,bell-bottoms,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms1.png,1320,330,Able Sisters,Available from Able Sisters shop only,Brown,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms1.png,All Year,Gorgeous,everyday,Brown
9271,bell-bottoms,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms2.png,1320,330,Able Sisters,Available from Able Sisters shop only,Beige,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms2.png,All Year,Gorgeous,everyday,Beige
9272,bell-bottoms,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms3.png,1320,330,Able Sisters,Available from Able Sisters shop only,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms3.png,All Year,Gorgeous,everyday,Green
9273,bell-bottoms,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms4.png,1320,330,Able Sisters,Available from Able Sisters shop only,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms4.png,All Year,Gorgeous,everyday,Blue
4545,belted wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap0.png,1040,260,Able Sisters,Available from Able Sisters shop only,Yellow,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap0.png,All Year,Simple,everyday; comfy,Yellow
8721,belted wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap1.png,1040,260,Able Sisters,Available from Able Sisters shop only,Red,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap1.png,All Year,Simple,everyday; comfy,Red
8722,belted wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap2.png,1040,260,Able Sisters,Available from Able Sisters shop only,Green,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap2.png,All Year,Simple,everyday; comfy,Green
8723,belted wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap3.png,1040,260,Able Sisters,Available from Able Sisters shop only,Blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap3.png,All Year,Simple,everyday; comfy,Blue
5419,boa shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa0.png,1200,300,Able Sisters,Available from Able Sisters shop only,Purple,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa0.png,Winter,Active,everyday; outdoorsy,Purple
9114,boa shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa1.png,1200,300,Able Sisters,Available from Able Sisters shop only,Green,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa1.png,Winter,Active,everyday; outdoorsy,Avocado
9115,boa shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa2.png,1200,300,Able Sisters,Available from Able Sisters shop only,Beige,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa2.png,Winter,Active,everyday; outdoorsy,Beige
9116,boa shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa3.png,1200,300,Able Sisters,Available from Able Sisters shop only,Blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa3.png,Winter,Active,everyday; outdoorsy,Blue
9117,boa shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa4.png,1200,300,Able Sisters,Available from Able Sisters shop only,Red,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa4.png,Winter,Active,everyday; outdoorsy,Red
9118,boa shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa5.png,1200,300,Able Sisters,Available from Able Sisters shop only,Orange,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa5.png,Winter,Active,everyday; outdoorsy,Orange
9119,boa shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa6.png,1200,300,Able Sisters,Available from Able Sisters shop only,Light blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa6.png,Winter,Active,everyday; outdoorsy,Peacock blue
9120,boa shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa7.png,1200,300,Able Sisters,Available from Able Sisters shop only,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa7.png,Winter,Active,everyday; outdoorsy,Black
5418,boa skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa0.png,1300,325,Able Sisters,Available from Able Sisters shop only,Green,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa0.png,Winter,Active,everyday; outdoorsy,Green
9107,boa skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa1.png,1300,325,Able Sisters,Available from Able Sisters shop only,Blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa1.png,Winter,Active,everyday; outdoorsy,Blue
9108,boa skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa2.png,1300,325,Able Sisters,Available from Able Sisters shop only,Purple,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa2.png,Winter,Active,everyday; outdoorsy,Purple
9109,boa skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa3.png,1300,325,Able Sisters,Available from Able Sisters shop only,Red,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa3.png,Winter,Active,everyday; outdoorsy,Red
9110,boa skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa4.png,1300,325,Able Sisters,Available from Able Sisters shop only,Yellow,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa4.png,Winter,Active,everyday; outdoorsy,Yellow
9111,boa skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa5.png,1300,325,Able Sisters,Available from Able Sisters shop only,Light blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa5.png,Winter,Active,everyday; outdoorsy,Light blue
9112,boa skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa6.png,1300,325,Able Sisters,Available from Able Sisters shop only,Beige,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa6.png,Winter,Active,everyday; outdoorsy,Beige
9113,boa skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa7.png,1300,325,Able Sisters,Available from Able Sisters shop only,Brown,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa7.png,Winter,Active,everyday; outdoorsy,Brown
5722,bomber-style skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone0.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone0.png,All Year,Cool,everyday; outdoorsy,Avocado
11663,bomber-style skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone1.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone1.png,All Year,Cool,everyday; outdoorsy,Black
11664,bomber-style skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone2.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone2.png,All Year,Cool,everyday; outdoorsy,Blue
11665,bomber-style skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone3.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Brown,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone3.png,All Year,Cool,everyday; outdoorsy,Brown
5854,botanical shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBotanical0.png,700,175,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBotanical0.png,Summer,Cool,comfy; vacation,Black
9193,botanical shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBotanical1.png,700,175,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,White,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBotanical1.png,Summer,Cool,comfy; vacation,White
5703,box-pleated skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats0.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Light blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats0.png,All Year,Simple,everyday; vacation,Light blue
11786,box-pleated skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats1.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats1.png,All Year,Simple,everyday; vacation,Beige
11787,box-pleated skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats2.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats2.png,All Year,Simple,everyday; vacation,Red
