Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,VFX,Miles Price
5036,aqua tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile01.png,900,225,너굴 상점,,하늘색,하늘색,구매가능,No,,No,NA
4953,arabesque flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArabesque00.png,2120,530,너굴 상점,,검정색,회색,구매가능,No,,No,NA
4998,arched-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArchBrick00.png,1100,275,너굴 상점,,갈색,갈색,구매가능,No,,No,NA
4994,argyle tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileWood00.png,1750,437,너굴 상점,,하얀색,베이지색,구매가능,No,,No,NA
5232,artsy parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetArt00.png,1800,450,너굴 상점,,베이지색,베이지색,구매가능,No,,No,NA
4979,backyard lawn,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLawn00.png,NFS,600,제작,,초록색,초록색,비매품,Yes,,No,NA
4964,bamboo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBamboo00.png,NFS,2400,제작,,초록색,베이지색,비매품,Yes,,No,NA
4797,basement flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBasement00.png,NFS,1500,제작,,회색,회색,비매품,Yes,,No,NA
4965,beige desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco00.png,2100,525,너굴 상점,,베이지색,하얀색,구매가능,No,,No,NA
5053,berry-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate02.png,3000,750,사하라,,분홍색,분홍색,비매품,No,,No,NA
5032,birch flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBirch00.png,800,200,너굴 상점,,하얀색,하얀색,구매가능,No,,No,NA
5066,black iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron02.png,2350,587,너굴 상점,,검정색,하얀색,구매가능,No,,No,NA
4976,black-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick02.png,1040,260,너굴 상점,,검정색,검정색,구매가능,No,,No,NA
5016,blue camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage01.png,1320,330,너굴 상점,,파란색,파란색,구매가능,No,,No,NA
4966,blue desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco01.png,2100,525,너굴 상점,,파란색,하얀색,구매가능,No,,No,NA
5028,blue dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot04.png,800,200,너굴 상점,,파란색,하늘색,구매가능,No,,No,NA
5074,blue floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood01.png,1520,380,너굴 상점,,파란색,파란색,구매가능,No,,No,NA
5040,blue honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb01.png,1420,355,너굴 상점,,파란색,파란색,구매가능,No,,No,NA
6846,blue mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile03.png,900,225,너굴 상점,,파란색,파란색,구매가능,No,,No,NA
