Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Villager Equippable,Miles Price
4463,3D glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed0.png,490,122,에이블 시스터즈,에이블 시스터즈에만,하얀색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed0.png,일 년 내내,활동적인,파티,White,Yes,NA
11020,3D glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed1.png,490,122,에이블 시스터즈,에이블 시스터즈에만,검정색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed1.png,일 년 내내,활동적인,파티,Black,Yes,NA
4677,bandage,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBandageSkin.png,140,35,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,베이지색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBandageSkin.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Beige,No,NA
3549,beak,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeakYellow.png,490,122,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeakYellow.png,일 년 내내,귀여운,메르헨#파티#스테이지,Yellow,No,NA
4510,birthday shades,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday0.png,NFS,620,생일,,노란색,빨간색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday0.png,일 년 내내,화려한,파티,Yellow,Yes,NA
11217,birthday shades,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday1.png,NFS,620,생일,,분홍색,분홍색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday1.png,일 년 내내,화려한,파티,Pink,Yes,NA
11218,birthday shades,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday2.png,NFS,620,생일,,빨간색,분홍색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday2.png,일 년 내내,화려한,파티,Red,Yes,NA
11219,birthday shades,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday3.png,NFS,620,생일,,하늘색,초록색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday3.png,일 년 내내,화려한,파티,Blue,Yes,NA
4597,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose0.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose0.png,일 년 내내,심플한,데일리#릴렉스#비즈니스,Red,Yes,NA
11081,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose1.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,보라색,보라색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose1.png,일 년 내내,심플한,데일리#릴렉스#비즈니스,Purple,Yes,NA
11082,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose2.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose2.png,일 년 내내,심플한,데일리#릴렉스#비즈니스,Green,Yes,NA
11083,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose3.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose3.png,일 년 내내,심플한,데일리#릴렉스#비즈니스,Blue,Yes,NA
11084,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose4.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,노란색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose4.png,일 년 내내,심플한,데일리#릴렉스#비즈니스,Yellow,Yes,NA
11085,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose5.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,분홍색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose5.png,일 년 내내,심플한,데일리#릴렉스#비즈니스,Pink,Yes,NA
11086,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose6.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose6.png,일 년 내내,심플한,데일리#릴렉스#비즈니스,Black,Yes,NA
4238,browline glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont0.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,검정색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont0.png,일 년 내내,심플한,데일리#포멀,Black,Yes,NA
11069,browline glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont1.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,갈색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont1.png,일 년 내내,심플한,데일리#포멀,Brown,Yes,NA
11070,browline glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont2.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,초록색,회색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont2.png,일 년 내내,심플한,데일리#포멀,Green,Yes,NA
11071,browline glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont3.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,회색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont3.png,일 년 내내,심플한,데일리#포멀,Gray,Yes,NA
