Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog,Primary Shape,Secondary Shape
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki0.png,Navy blue,No,2080,520,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; party,For sale,Box,L
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki1.png,Gray,No,2080,520,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; party,For sale,Box,L
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki2.png,Red,No,2080,520,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; party,For sale,Box,L
adventure dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHStrangeBlue.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHStrangeBlue.png,Blue,No,2800,700,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale,For sale,Balloon,H
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean0.png,Green,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; formal,For sale,Balloon,H
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean1.png,Blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; formal,For sale,Balloon,H
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean2.png,Red,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; formal,For sale,Balloon,H
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean0.png,Green,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,Overall,H
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean1.png,Blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,Overall,H
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean2.png,Red,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,Overall,H
