Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Primary Shape,Secondary Shape,Villager Equippable
2699,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki0.png,2080,520,Able Sisters,Available from Able Sisters shop only,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki0.png,All Year,Elegant,formal; party,Navy blue,Box,L,Yes
9016,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki1.png,2080,520,Able Sisters,Available from Able Sisters shop only,Gray,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki1.png,All Year,Elegant,formal; party,Gray,Box,L,Yes
9017,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki2.png,2080,520,Able Sisters,Available from Able Sisters shop only,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki2.png,All Year,Elegant,formal; party,Red,Box,L,Yes
3686,adventure dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHStrangeBlue.png,2800,700,Able Sisters,Available from Able Sisters shop only,Light blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHStrangeBlue.png,All Year,Cute,fairy tale,Blue,Balloon,H,Yes
3168,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean0.png,2520,630,Able Sisters,Available from Able Sisters shop only,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean0.png,All Year,Cute,everyday; formal,Green,Balloon,H,Yes
8615,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean1.png,2520,630,Able Sisters,Available from Able Sisters shop only,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean1.png,All Year,Cute,everyday; formal,Blue,Balloon,H,Yes
8616,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean2.png,2520,630,Able Sisters,Available from Able Sisters shop only,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean2.png,All Year,Cute,everyday; formal,Red,Balloon,H,Yes
4443,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean0.png,2520,630,Able Sisters,Available from Able Sisters shop only,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean0.png,All Year,Elegant,everyday; formal,Green,Overall,H,Yes
8631,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean1.png,2520,630,Able Sisters,Available from Able Sisters shop only,Blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean1.png,All Year,Elegant,everyday; formal,Blue,Overall,H,Yes
8632,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean2.png,2520,630,Able Sisters,Available from Able Sisters shop only,Red,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean2.png,All Year,Elegant,everyday; formal,Red,Overall,H,Yes
5518,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen0.png,3640,910,Able Sisters,Available from Able Sisters shop only,Light blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen0.png,All Year,Elegant,formal,Blue,Kimono,L,Yes
9158,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen1.png,3640,910,Able Sisters,Available from Able Sisters shop only,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen1.png,All Year,Elegant,formal,Green,Kimono,L,Yes
9159,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen2.png,3640,910,Able Sisters,Available from Able Sisters shop only,Beige,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen2.png,All Year,Elegant,formal,Beige,Kimono,L,Yes
9160,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen3.png,3640,910,Able Sisters,Available from Able Sisters shop only,White,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen3.png,All Year,Elegant,formal,White,Kimono,L,Yes
9161,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen4.png,3640,910,Able Sisters,Available from Able Sisters shop only,Purple,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen4.png,All Year,Elegant,formal,Purple,Kimono,L,Yes
5519,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,2520,630,Able Sisters,Available from Able Sisters shop only,Green,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,All Year,Elegant,formal,Green,Kimono,L,Yes
9162,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,2520,630,Able Sisters,Available from Able Sisters shop only,Pink,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,All Year,Elegant,formal,Pink,Kimono,L,Yes
9163,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,2520,630,Able Sisters,Available from Able Sisters shop only,Pink,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,All Year,Elegant,formal,Red,Kimono,L,Yes
9164,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,2520,630,Able Sisters,Available from Able Sisters shop only,Light blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,All Year,Elegant,formal,Blue,Kimono,L,Yes
9165,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,2520,630,Able Sisters,Available from Able Sisters shop only,Purple,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,All Year,Elegant,formal,Purple,Kimono,L,Yes
3493,áo dài,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai0.png,2520,630,Able Sisters,Available from Able Sisters shop only,White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai0.png,All Year,Elegant,everyday; formal,White,B-long,L,Yes
9141,áo dài,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai1.png,2520,630,Able Sisters,Available from Able Sisters shop only,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai1.png,All Year,Elegant,everyday; formal,Navy blue,B-long,L,Yes
9142,áo dài,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai2.png,2520,630,Able Sisters,Available from Able Sisters shop only,Yellow,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai2.png,All Year,Elegant,everyday; formal,Yellow,B-long,L,Yes
9143,áo dài,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai3.png,2520,630,Able Sisters,Available from Able Sisters shop only,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai3.png,All Year,Elegant,everyday; formal,Green,B-long,L,Yes
9144,áo dài,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai4.png,2520,630,Able Sisters,Available from Able Sisters shop only,Pink,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai4.png,All Year,Elegant,everyday; formal,Pink,B-long,L,Yes
9836,apple dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNApple0.png,NFS,1600,Crafting,,Yellow,Red,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNApple0.png,All Year,Cute,fairy tale; party; theatrical,Red,A-line,N,Yes
5135,astro dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace0.png,2500,625,Able Sisters,Available from Able Sisters shop only,Gray,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace0.png,All Year,Cool,fairy tale; theatrical,Blue,A-line,N,Yes
7890,astro dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace1.png,2500,625,Able Sisters,Available from Able Sisters shop only,Gray,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace1.png,All Year,Cool,fairy tale; theatrical,Green,A-line,N,Yes
7891,astro dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace2.png,2500,625,Able Sisters,Available from Able Sisters shop only,Gray,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace2.png,All Year,Cool,fairy tale; theatrical,Pink,A-line,N,Yes
